,calibrate_trial,perturbed,avg_residual,sensor,col_trial
46,L3CX_W1_P1,Perturbed,6.639232922863499,VL53L3CX,W1_P1
47,L3CX_W1_P1,Perturbed,1.3271870978600997,VL53L3CX,W1_P1
48,L3CX_W1_P1,Perturbed,1.647870683724193,VL53L3CX,W1_P1
49,L3CX_W1_P1,Perturbed,4.947842564347191,VL53L3CX,W1_P1
50,L3CX_W1_P1,Perturbed,5.102376325583024,VL53L3CX,W1_P1
51,L3CX_W2_P1,Solution,1.2919344649612299,VL53L3CX,W2_P1
52,L3CX_W2_P1,Perturbed,4.066683893538634,VL53L3CX,W2_P1
53,L3CX_W2_P1,Perturbed,5.260538059786682,VL53L3CX,W2_P1
54,L3CX_W2_P1,Perturbed,6.649183543238869,VL53L3CX,W2_P1
55,L3CX_W2_P1,Perturbed,4.000539350467636,VL53L3CX,W2_P1
56,L3CX_W2_P1,Perturbed,3.1504921388061056,VL53L3CX,W2_P1
57,L3CX_W2_P1,Perturbed,4.022008850056103,VL53L3CX,W2_P1
58,L3CX_W2_P1,Perturbed,7.9787458624290215,VL53L3CX,W2_P1
59,L3CX_W2_P1,Perturbed,7.415547337327972,VL53L3CX,W2_P1
60,L3CX_W2_P1,Perturbed,2.87400793809924,VL53L3CX,W2_P1
61,L3CX_W2_P1,Perturbed,3.228788162191132,VL53L3CX,W2_P1
62,L3CX_W2_P1,Perturbed,12.665109774021586,VL53L3CX,W2_P1
63,L3CX_W2_P1,Perturbed,11.455420705423924,VL53L3CX,W2_P1
64,L3CX_W2_P1,Perturbed,4.7291176989641,VL53L3CX,W2_P1
65,L3CX_W2_P1,Perturbed,5.254428666919673,VL53L3CX,W2_P1
66,L3CX_W2_P1,Perturbed,11.70033481244001,VL53L3CX,W2_P1
67,L3CX_W2_P1,Perturbed,10.134984143783944,VL53L3CX,W2_P1
68,L3CX_W2_P1,Perturbed,0.9846534182039832,VL53L3CX,W2_P1
69,L3CX_W2_P1,Perturbed,3.242149367357625,VL53L3CX,W2_P1
70,L3CX_W2_P1,Perturbed,12.01313287633088,VL53L3CX,W2_P1
71,L3CX_W2_P1,Perturbed,9.933512838026445,VL53L3CX,W2_P1
72,L3CX_W2_P1,Perturbed,5.308214194709902,VL53L3CX,W2_P1
73,L3CX_W2_P1,Perturbed,6.787840307190945,VL53L3CX,W2_P1
74,L3CX_W2_P1,Perturbed,3.9831916323936505,VL53L3CX,W2_P1
75,L3CX_W2_P1,Perturbed,4.704199510600687,VL53L3CX,W2_P1
76,L3CX_W2_P1,Perturbed,10.849195340930317,VL53L3CX,W2_P1
77,L3CX_W2_P1,Perturbed,9.605369705423593,VL53L3CX,W2_P1
78,L3CX_W2_P1,Perturbed,3.990552805334184,VL53L3CX,W2_P1
79,L3CX_W2_P1,Perturbed,25.40166129386888,VL53L3CX,W2_P1
80,L3CX_W2_P1,Perturbed,2.147614235651672,VL53L3CX,W2_P1
81,L3CX_W2_P1,Perturbed,2.7775791768937155,VL53L3CX,W2_P1
