,noise,p_error,u_error,a_error,d_error
0,0,0.0002667365116376869,5.122641877509565e-06,179.9999963777452,999.9999876965641
1,0,0.00021732627995307163,1.129436371961277e-05,7.244509618354405e-06,0.0
2,0,0.00018156700686439495,4.517745487845102e-06,179.9999942094254,1000.0000000000002
3,0,0.0004265160314339199,9.115808030550376e-06,179.9999973001307,1000.0000000001818
4,0,0.0005250295237338738,2.0095444986978942e-05,1.5904040849567444e-05,7.707845207960418e-05
5,0,0.00029908256385251095,8.099607985145754e-06,179.99999879258172,1000.0
6,0,0.00025848622543909425,1.0173887179578492e-05,179.99999532368915,999.9999946357852
7,0,0.00034523183145657713,7.588506156264597e-06,179.9999973001307,999.9999631208157
8,0,0.00021698720985278237,7.244509618354405e-06,179.9999979086902,1000.0
9,0,0.0002571893339906833,5.399738656763834e-06,179.9999942094254,1000.0000000001537
10,0,0.00015279937616293477,8.18910913293408e-06,5.533085616490783e-06,3.248836310376646e-05
11,0,0.0004060835032200713,1.1643920115677386e-05,179.99999758516347,1000.0
12,0,0.00033862835995349154,8.45192788808014e-06,179.9999973001307,1000.0
13,0,0.0013444615837162885,4.01908899739585e-05,179.99999680547154,1000.0
14,0,0.00021133711131077716,3.6222548091772e-06,4.676310850554341e-06,7.103722055035178e-10
15,0,0.0002054442473056278,5.7905745997743736e-06,180.0,999.9999999997046
16,0,0.0004197515347633933,1.1131846416284069e-05,179.9999979086902,1000.0
17,0,0.00037633778353790266,9.583585410390605e-06,179.9999973001307,999.999999763297
18,0,8.83541236193001e-05,1.2074182697257333e-06,179.99999879258172,999.999937979563
19,0,0.00013173178791254074,7.73124918760008e-06,5.263014220319208e-06,3.9898395698401146e-10
20,0,0.00026659835062210746,8.009106731400786e-06,179.99999879258172,999.9999832004834
21,0,0.0002391674240592529,6.3890569402603996e-06,180.0,999.9999888115864
22,0,0.0004049137168709787,8.009106731400786e-06,179.9999965849054,999.9999867205197
23,0,0.0005742396142252924,1.5272767283331427e-05,179.99999879258172,999.9999964457413
24,0,0.0002707930447478768,8.45192788808014e-06,2.4148365394514667e-06,2.654181548678025e-05
25,0,0.00041010289660881424,1.045654894575938e-05,179.99999879258172,1000.0
26,0,7.871362241129534e-05,4.829673078902934e-06,4.9783130603797145e-06,0.0
27,0,6.514634236360004e-05,7.443026089337888e-06,5.9764155237611605e-06,0.0
28,0,0.000215261265119407,5.399738656763834e-06,179.99999829245272,999.9999655226092
29,0,0.0001543514978401031,4.353408482428142e-06,179.99999879258172,1000.0
30,0,0.0001537073039074206,3.6222548091772e-06,179.999990964509,999.9999977542022
31,0,0.00016671630637834586,5.263014220319208e-06,179.99999879258172,999.9999955297501
32,0,0.0002839162800828781,3.6222548091772e-06,179.9999921750353,1000.0
33,0,0.00020312405188691588,1.0386604689550578e-05,6.502146373618258e-06,5.978285912533465e-05
34,0,0.0003466103183503607,1.2919939687890481e-05,5.7905745997743736e-06,5.0904947840990644e-05
35,0,0.00022752864599249542,5.399738656763834e-06,179.99999879258172,999.9999870503918
36,0,0.0003109971490348775,5.533085616490783e-06,179.99999618180817,1000.0
37,0,0.00038008936916824346,8.2776426154535e-06,179.9999979086902,1000.0
38,0,0.00038244805234268793,1.2547858734911261e-05,179.99999680547154,1000.0
39,0,8.572697098776404e-05,1.0933637455190016e-05,9.115808030550376e-06,8.262849746643042e-06
40,0,0.0002429850364027566,4.517745487845102e-06,179.9999963777452,999.9999702332736
41,0,0.00036714563891036644,1.306022544728445e-05,7.244509618354405e-06,5.046769621230851e-05
42,0,0.00024999589332563616,1.010198601586461e-05,7.244509618354405e-06,4.2060743169258785e-05
43,0,0.0003032962570540196,7.917571076845593e-06,180.0,999.9999761187132
44,0,8.77963407258977e-05,4.182619578303747e-06,1.7075472925031877e-06,0.0
45,0,0.00020904544546858462,5.663293681020318e-06,179.99999829245272,1000.0
46,0,0.00020504420177964913,3.6222548091772e-06,179.99999704244132,1000.0
47,0,0.00023011344652843895,6.3890569402603996e-06,180.0,999.999984021664
48,0,0.0002651485328783611,3.6222548091772e-06,179.9999973001307,999.9999105381081
49,0,0.0003447892686987426,7.244509618354405e-06,179.99999704244132,999.9999727123309
50,0,0.0003822678586791987,1.1358719589327517e-05,179.9999964798011,999.9999999999686
51,0,0.00021728144023972686,1.4438622495364691e-05,9.35262170110869e-06,0.0
52,0,0.00011331914431869736,6.273929367455621e-06,4.829673078902934e-06,0.0
53,0,0.00035182481628591845,3.1945284701301985e-06,179.99999034065385,999.9999559982607
54,0,0.00029503986665748306,1.1768457563181822e-05,4.353408482428142e-06,1.8911805454990827e-10
55,0,0.0005326354928334904,1.5224965077553749e-05,4.00455336570039e-06,0.0001253298719916529
56,0,6.557907012061308e-05,4.353408482428142e-06,4.9783130603797145e-06,0.0
57,0,0.00022087116117958688,1.2043959414067914e-05,6.273929367455621e-06,0.0
58,0,0.0002959269775034368,1.1581149199548762e-05,5.663293681020318e-06,0.0
59,0,0.00024110175299152798,3.4150945850063763e-06,179.9999965849054,1000.0
60,0,0.00018529081063478113,4.182619578303747e-06,180.0,1000.0
61,0,0.0003133162193913844,1.9014441926092368e-05,1.4235251457258534e-05,8.981260180007666e-11
62,0,0.0005622237508710884,1.9913252241518953e-05,7.443026089337888e-06,2.6147972675971687e-11
63,0,0.0004960176976831741,2.3004407680670755e-05,1.010198601586461e-05,2.782732411787947e-05
64,0,0.00023812729323548394,7.540324677666867e-06,179.99999879258172,1000.0
65,0,0.00029138005336802456,1.4028932551663055e-05,5.663293681020318e-06,6.7047208176518325e-06
66,0,0.00018720181793405505,5.399738656763834e-06,5.533085616490783e-06,1.3358203432289883e-10
67,0,0.00028413419318148184,9.734517300533532e-06,3.6222548091772e-06,0.0
68,0,0.0004879336924314745,1.0386604689550578e-05,179.99999361094308,999.9999720171722
69,0,0.00020709002900483778,1.3526318390362917e-05,1.1197136397927998e-05,0.0
70,0,0.00017741514194567743,8.537736462515945e-06,3.818191820832846e-06,1.5558043742203154e-10
71,0,0.00034284622562897005,1.2134403433412636e-05,1.0731768324341125e-05,0.0
72,0,0.0005164973497436764,1.4388049231413678e-05,179.9999979086902,999.9999870557773
73,0,0.00024697211546242785,8.144481502960801e-06,179.99999879258172,999.9999857710116
74,0,0.0001759878700569124,5.663293681020318e-06,179.9999979086902,999.9999999999939
75,0,0.00023620254621922306,6.722620413208828e-06,179.99999879258172,1000.0
76,0,0.0002524516738106667,1.2013660097101191e-05,4.676310850554341e-06,3.6898426856168953e-06
77,0,0.00029344588248497256,1.1891690845819462e-05,6.273929367455621e-06,0.0
78,0,0.00010468546392021411,5.663293681020318e-06,179.99999408488267,999.9999526628858
79,0,0.00031189611981529943,6.273929367455621e-06,179.99999704244132,999.9999964489241
80,0,0.00012709376107864655,8.365239156607497e-06,5.663293681020318e-06,1.6763249504947453e-05
81,0,0.0002520131090478862,1.0731768324341125e-05,5.915117333884395e-06,0.0
82,0,0.0003552934843063437,1.5649929441225564e-05,8.79013768592829e-06,0.0
83,0,0.00019207682392992812,6.037091348628668e-06,179.99999829245272,999.9999690813618
84,0,0.00025962299338726306,6.613302226726415e-06,179.9999979086902,1000.0000000000146
85,0,0.00023333287859549358,3.1945284701301985e-06,179.99999704244132,999.9999405550909
86,0,0.00013582730777836322,7.917571076845593e-06,4.182619578303747e-06,5.684341886080802e-14
87,0,0.00035334962269571886,7.778248095798993e-06,179.99999704244132,1000.0
